date,5-year,acquirer,ceo,acquisition,industry,cost,costBucket,costGroup,industrySort1,cost2
2 Oct 2006,2006--2010,Microsoft,Steve Ballmer,DesktopStandard,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
29 Oct 2010,2006--2010,Facebook,Mark Zuckerberg,Drop.io,Networking,10,Less than $100 million,2Cost,9networking,$10.0m
2 Mar 2005,2001--2005,Microsoft,Steve Ballmer,en'tegrate,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
4 Jun 2007,2006--2010,Microsoft,Steve Ballmer,Engyro,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
16 Jul 2015,2011--present,Microsoft,Satya Nadella,FieldOne Systems,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
27 May 2003,2001--2005,Microsoft,Steve Ballmer,G.A. Sullivan,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
5 Apr 2001,2001--2005,Microsoft,Steve Ballmer,Great Plains Software,Networking,939.8,$500 - $999 million,4Cost,9networking,$939.8m
1 May 2014,2011--present,Microsoft,Satya Nadella,GreenButton,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
26 Sep 2006,2006--2010,Microsoft,Steve Ballmer,Gteko,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
22 Sep 2009,2006--2010,Microsoft,Steve Ballmer,Interactive Supercomputing,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
23 May 2013,2011--present,Google,Larry Page,Makani Power,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
28 Apr 1998,1996-2000,Microsoft,Bill Gates,MESA Group,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
4 Mar 2013,2011--present,Microsoft,Steve Ballmer,MetricsHub,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
6 Nov 1995,1991--1995,Microsoft,Bill Gates,Netwise,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
2 Mar 1988,1985-1990,Apple,John Sculley,Network Innovations,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
10 Jul 1995,1991--1995,Microsoft,Bill Gates,Network Managers,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
11 Feb 2016,2011--present,Amazon,Jeff Bezos,NICE,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
8 Aug 2016,2011--present,Google,Sundar Pichai,Orbitera,Networking,100,$100 - $499 million,3Cost,9networking,$100.0m
7 Jun 1988,1985-1990,Apple,John Sculley,Orion Network Systems,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
5 Jun 2007,2006--2010,Google,Eric Schmidt,PeakStream,Networking,20.3,Less than $100 million,2Cost,9networking,$20.3m
4 Jun 2008,2006--2010,Microsoft,Steve Ballmer,Quadreon,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
29 Jun 2007,2006--2010,Microsoft,Steve Ballmer,Savvis Inc-Data Centers,Networking,200,$100 - $499 million,3Cost,9networking,$200.0m
3 May 2016,2011--present,Microsoft,Satya Nadella,Solair,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
16 Oct 2012,2011--present,Microsoft,Steve Ballmer,StorSimple,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
15 Mar 2013,2011--present,Google,Larry Page,Talaria,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
14 Apr 2014,2011--present,Google,Larry Page,Titan Aerospace,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
3 Nov 2014,2011--present,Apple,Tim Cook,Union Bay Networks,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
25 Aug 1998,1996-2000,Microsoft,Bill Gates,Valence Research,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
10 Sep 2002,2001--2005,Microsoft,Steve Ballmer,XDegrees,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
7 Jul 1999,1996-2000,Microsoft,Bill Gates,Zoomit,Networking,1,Undisclosed,1Cost,9networking,Undisclosed
11 May 2001,2001--2005,Apple,Steve Jobs,bluebuzz,Other,1,Undisclosed,1Cost,16other,Undisclosed
1 Sep 2006,2006--2010,Google,Eric Schmidt,Cold North Wind,Other,1,Undisclosed,1Cost,16other,Undisclosed
10 Apr 2014,2011--present,Amazon,Jeff Bezos,Comixology,Other,1,Undisclosed,1Cost,16other,Undisclosed
7 Jul 2005,2001--2005,Google,Eric Schmidt,Current Comms Group,Other,100,$100 - $499 million,3Cost,16other,$100.0m
23 Aug 2005,2001--2005,Facebook,Mark Zuckerberg,facebook.com domain name,Other,0.2,Less than $100 million,2Cost,16other,$0.2m
15 Nov 2010,2006--2010,Facebook,Mark Zuckerberg,FB.com domain name,Other,8.5,Less than $100 million,2Cost,16other,$8.5m
1 Nov 2007,2006--2010,Microsoft,Steve Ballmer,HOB Business Solutions,Other,1,Undisclosed,1Cost,16other,Undisclosed
14 Mar 2013,2011--present,Facebook,Mark Zuckerberg,Hot Studio,Other,1,Undisclosed,1Cost,16other,Undisclosed
30 Apr 1999,1996-2000,Microsoft,Bill Gates,Jump Networks,Other,1,Undisclosed,1Cost,16other,Undisclosed
29 Jul 2002,2001--2005,Microsoft,Steve Ballmer,Mobilocity,Other,1,Undisclosed,1Cost,16other,Undisclosed
23 Sep 2014,2011--present,Apple,Tim Cook,Prss,Other,1,Undisclosed,1Cost,16other,Undisclosed
8 Apr 2011,2011--present,Google,Larry Page,PushLife,Other,25,Less than $100 million,2Cost,16other,$25.0m
27 Oct 2014,2011--present,Amazon,Jeff Bezos,Rooftop Media,Other,1,Undisclosed,1Cost,16other,Undisclosed
1 Oct 2013,2011--present,Amazon,Jeff Bezos,TenMarks Education,Other,1,Undisclosed,1Cost,16other,Undisclosed
12 Apr 2000,1996-2000,Microsoft,Steve Ballmer,Titus Communications,Other,944.8,$500 - $999 million,4Cost,16other,$944.8m
22 Jun 2016,2011--present,Google,Sundar Pichai,Webpass,Other,1,Undisclosed,1Cost,16other,Undisclosed
1 Jul 2001,2001--2005,Microsoft,Steve Ballmer,Yupi,Other,1,Undisclosed,1Cost,16other,Undisclosed
19 Jul 2005,2001--2005,Google,Eric Schmidt,Akwan,Search,1,Undisclosed,1Cost,17search,Undisclosed
10 Nov 2011,2011--present,Google,Larry Page,Apture,Search,1,Undisclosed,1Cost,17search,Undisclosed
23 Feb 2012,2011--present,Apple,Tim Cook,Chomp,Search,50,Less than $100 million,2Cost,17search,$50.0m
25 Apr 2008,2006--2010,Microsoft,Steve Ballmer,Fast Search & Transfer,Search,1191,$1 - 10 billion,5Cost,17search,"$1,191.0m"
30 Sep 2003,2001--2005,Google,Eric Schmidt,Kaltix,Search,1,Undisclosed,1Cost,17search,Undisclosed
16 Jul 2004,2001--2005,Microsoft,Steve Ballmer,Lookout,Search,1,Undisclosed,1Cost,17search,Undisclosed
9 Mar 2007,2006--2010,Microsoft,Steve Ballmer,Medstory,Search,1,Undisclosed,1Cost,17search,Undisclosed
16 Jul 2010,2006--2010,Google,Eric Schmidt,Metaweb,Search,1,Undisclosed,1Cost,17search,Undisclosed
7 Mar 2006,2006--2010,Microsoft,Steve Ballmer,Onfolio,Search,1,Undisclosed,1Cost,17search,Undisclosed
9 Apr 2006,2006--2010,Google,Eric Schmidt,Orion,Search,1,Undisclosed,1Cost,17search,Undisclosed
1 Jun 2013,2011--present,Apple,Tim Cook,OttoCat,Search,1,Undisclosed,1Cost,17search,Undisclosed
20 Sep 2001,2001--2005,Google,Eric Schmidt,Outride,Search,1,Undisclosed,1Cost,17search,Undisclosed
12 Apr 2010,2006--2010,Google,Eric Schmidt,Plink,Search,1,Undisclosed,1Cost,17search,Undisclosed
11 Aug 2008,2006--2010,Microsoft,Steve Ballmer,Powerset,Search,100,$100 - $499 million,3Cost,17search,$100.0m
17 Feb 2010,2006--2010,Google,Eric Schmidt,reMail,Search,1,Undisclosed,1Cost,17search,Undisclosed
20 Jul 2011,2011--present,Google,Larry Page,Scoopler,Search,1,Undisclosed,1Cost,17search,Undisclosed
22 Nov 2011,2011--present,Microsoft,Steve Ballmer,Videosurf,Search,100,$100 - $499 million,3Cost,17search,$100.0m
19 Jul 2015,2011--present,Microsoft,Satya Nadella,Adallom,Security,320,$100 - $499 million,3Cost,10security,$320.0m
19 Sep 2005,2001--2005,Microsoft,Steve Ballmer,Alacris,Security,1,Undisclosed,1Cost,10security,Undisclosed
27 Jul 2012,2011--present,Apple,Tim Cook,AuthenTec,Security,356,$100 - $499 million,3Cost,10security,$356.0m
31 Aug 2005,2001--2005,Microsoft,Steve Ballmer,FrontBridge,Security,1,Undisclosed,1Cost,10security,Undisclosed
10 Jun 2003,2001--2005,Microsoft,Steve Ballmer,GeCAD,Security,1,Undisclosed,1Cost,10security,Undisclosed
16 Dec 2004,2001--2005,Microsoft,Steve Ballmer,GIANT Company Software,Security,1,Undisclosed,1Cost,10security,Undisclosed
11 May 2007,2006--2010,Google,Eric Schmidt,GreenBorder,Security,1,Undisclosed,1Cost,10security,Undisclosed
15 Jan 2014,2011--present,Google,Larry Page,Impermium,Security,1,Undisclosed,1Cost,10security,Undisclosed
11 Jul 2014,2011--present,Microsoft,Satya Nadella,InMage,Security,1,Undisclosed,1Cost,10security,Undisclosed
19 Mar 2008,2006--2010,Microsoft,Steve Ballmer,Komoku,Security,5,Less than $100 million,2Cost,10security,$5.0m
3 Feb 2016,2011--present,Apple,Tim Cook,LegbaCore,Security,1,Undisclosed,1Cost,10security,Undisclosed
18 Jul 2013,2011--present,Facebook,Mark Zuckerberg,Monoidics,Security,1,Undisclosed,1Cost,10security,Undisclosed
7 Jan 2000,1996-2000,Apple,Steve Jobs,NetSelector,Security,1,Undisclosed,1Cost,10security,Undisclosed
4 Oct 2012,2011--present,Microsoft,Steve Ballmer,PhoneFactor,Security,1,Undisclosed,1Cost,10security,Undisclosed
9 Jul 2007,2006--2010,Google,Eric Schmidt,Postini,Security,625,$500 - $999 million,4Cost,10security,$625.0m
7 Aug 2014,2011--present,Facebook,Mark Zuckerberg,PrivateCore,Security,1,Undisclosed,1Cost,10security,Undisclosed
7 Jun 2011,2011--present,Microsoft,Steve Ballmer,Prodiance,Security,1,Undisclosed,1Cost,10security,Undisclosed
16 Sep 2009,2006--2010,Google,Eric Schmidt,reCAPTCHA,Security,1,Undisclosed,1Cost,10security,Undisclosed
9 Nov 2015,2011--present,Microsoft,Satya Nadella,Secure Islands,Security,1,Undisclosed,1Cost,10security,Undisclosed
10 Dec 2009,2006--2010,Microsoft,Steve Ballmer,Sentillion,Security,1,Undisclosed,1Cost,10security,Undisclosed
16 Feb 2014,2011--present,Google,Larry Page,SlickLogin,Security,1,Undisclosed,1Cost,10security,Undisclosed
21 Feb 2014,2011--present,Google,Larry Page,spider.io,Security,1,Undisclosed,1Cost,10security,Undisclosed
21 Jun 2005,2001--2005,Microsoft,Steve Ballmer,Sybari,Security,1,Undisclosed,1Cost,10security,Undisclosed
7 Sep 2012,2011--present,Google,Larry Page,VirusTotal.com,Security,1,Undisclosed,1Cost,10security,Undisclosed
26 Jul 2006,2006--2010,Microsoft,Steve Ballmer,Whale Communications,Security,1,Undisclosed,1Cost,10security,Undisclosed
18 Jul 2006,2006--2010,Microsoft,Steve Ballmer,Winternals,Security,1,Undisclosed,1Cost,10security,Undisclosed
1 Mar 2011,2011--present,Google,Larry Page,Zynamics,Security,1,Undisclosed,1Cost,10security,Undisclosed
12 Feb 2010,2006--2010,Google,Eric Schmidt,Aardvark,Social,50,Less than $100 million,2Cost,1social,$50.0m
30 Aug 2010,2006--2010,Google,Eric Schmidt,Angstro,Social,1,Undisclosed,1Cost,1social,Undisclosed
13 Jan 2014,2011--present,Facebook,Mark Zuckerberg,Branch,Social,15,Less than $100 million,2Cost,1social,$15.0m
12 Nov 2012,2011--present,Apple,Tim Cook,Color Labs,Social,7,Less than $100 million,2Cost,1social,$7.0m
23 Jun 2008,2006--2010,Facebook,Mark Zuckerberg,ConnectU,Social,31,Less than $100 million,2Cost,1social,$31.0m
12 May 2005,2001--2005,Google,Eric Schmidt,Dodgeball,Social,1,Undisclosed,1Cost,1social,Undisclosed
21 Jul 2011,2011--present,Google,Larry Page,Fridge,Social,1,Undisclosed,1Cost,1social,Undisclosed
10 Oct 2011,2011--present,Facebook,Mark Zuckerberg,Friend.ly,Social,1,Undisclosed,1Cost,1social,Undisclosed
10 Aug 2009,2006--2010,Facebook,Mark Zuckerberg,FriendFeed,Social,47.5,Less than $100 million,2Cost,1social,$47.5m
13 May 2010,2006--2010,Facebook,Mark Zuckerberg,Friendster patents,Social,40,Less than $100 million,2Cost,1social,$40.0m
1 Oct 2003,2001--2005,Google,Eric Schmidt,Genius Labs,Social,1,Undisclosed,1Cost,1social,Undisclosed
5 May 2012,2011--present,Facebook,Mark Zuckerberg,Glancee,Social,1,Undisclosed,1Cost,1social,Undisclosed
28 Mar 2013,2011--present,Amazon,Jeff Bezos,Goodreads,Social,1,Undisclosed,1Cost,1social,Undisclosed
9 Apr 2005,2001--2005,Microsoft,Steve Ballmer,Groove Networks,Social,1,Undisclosed,1Cost,1social,Undisclosed
20 Aug 2010,2006--2010,Facebook,Mark Zuckerberg,Hot Potato,Social,10,Less than $100 million,2Cost,1social,$10.0m
9 Apr 2012,2011--present,Facebook,Mark Zuckerberg,Instagram,Social,1000,$1 - 10 billion,5Cost,1social,"$1,000.0m"
9 Oct 2007,2006--2010,Google,Eric Schmidt,Jaiku,Social,12,Less than $100 million,2Cost,1social,$12.0m
10 Aug 2010,2006--2010,Google,Eric Schmidt,Jambool,Social,70,Less than $100 million,2Cost,1social,$70.0m
20 Jul 2011,2011--present,Google,Larry Page,JustSpotted,Social,1,Undisclosed,1Cost,1social,Undisclosed
21 May 2012,2011--present,Facebook,Mark Zuckerberg,Karma,Social,1,Undisclosed,1Cost,1social,Undisclosed
14 Nov 2011,2011--present,Google,Larry Page,Katango,Social,1,Undisclosed,1Cost,1social,Undisclosed
12 Jul 2016,2011--present,Google,Sundar Pichai,Kifi,Social,1,Undisclosed,1Cost,1social,Undisclosed
15 May 2012,2011--present,Facebook,Mark Zuckerberg,Lightbox.com,Social,1,Undisclosed,1Cost,1social,Undisclosed
14 Jun 2016,2011--present,Microsoft,Satya Nadella,LinkedIn,Social,26000,Over $20 billon,7Cost,1social,"$26,000.0m"
16 Mar 2012,2011--present,Google,Larry Page,Milk,Social,1,Undisclosed,1Cost,1social,Undisclosed
11 Sep 2014,2011--present,Google,Larry Page,Polar,Social,1,Undisclosed,1Cost,1social,Undisclosed
1 Feb 2003,2001--2005,Google,Eric Schmidt,Pyra Labs,Social,1,Undisclosed,1Cost,1social,Undisclosed
26 May 2010,2006--2010,Facebook,Mark Zuckerberg,ShareGrove,Social,1,Undisclosed,1Cost,1social,Undisclosed
25 Aug 2008,2006--2010,Amazon,Jeff Bezos,Shelfari,Social,1,Undisclosed,1Cost,1social,Undisclosed
5 Aug 2010,2006--2010,Google,Eric Schmidt,Slide,Social,228,$100 - $499 million,3Cost,1social,$228.0m
30 Aug 2010,2006--2010,Google,Eric Schmidt,SocialDeck,Social,1,Undisclosed,1Cost,1social,Undisclosed
6 Jun 2014,2011--present,Apple,Tim Cook,Spotsetter,Social,1,Undisclosed,1Cost,1social,Undisclosed
20 Aug 2007,2006--2010,Google,Eric Schmidt,Tianya.cn,Social,1,Undisclosed,1Cost,1social,Undisclosed
12 Sep 2008,2006--2010,Google,Eric Schmidt,TNC,Social,1,Undisclosed,1Cost,1social,Undisclosed
25 Jun 2012,2011--present,Microsoft,Steve Ballmer,Yammer,Social,1200,$1 - 10 billion,5Cost,1social,"$1,200.0m"
27 Sep 2007,2006--2010,Google,Eric Schmidt,Zingku,Social,1,Undisclosed,1Cost,1social,Undisclosed
14 Mar 2006,2006--2010,Google,Eric Schmidt,@Last,Software,1,Undisclosed,1Cost,2software,Undisclosed
1 Jun 2006,2006--2010,Google,Eric Schmidt,2Web,Software,1,Undisclosed,1Cost,2software,Undisclosed
27 Sep 1994,1991--1995,Microsoft,Bill Gates,Altamira,Software,1,Undisclosed,1Cost,2software,Undisclosed
6 Mar 1996,1996-2000,Microsoft,Bill Gates,Animation Software,Software,1,Undisclosed,1Cost,2software,Undisclosed
4 Dec 2009,2006--2010,Google,Eric Schmidt,AppJet,Software,1,Undisclosed,1Cost,2software,Undisclosed
7 Mar 2006,2006--2010,Microsoft,Steve Ballmer,Apptimum,Software,1,Undisclosed,1Cost,2software,Undisclosed
23 Apr 1996,1996-2000,Microsoft,Bill Gates,Aspect Software Engineering,Software,14.15,Less than $100 million,2Cost,2software,$14.2m
11 Apr 2000,1996-2000,Apple,Steve Jobs,Astarte,Software,1,Undisclosed,1Cost,2software,Undisclosed
17 Oct 1995,1991--1995,Microsoft,Bill Gates,Blue Ribbon SoundWorks,Software,1,Undisclosed,1Cost,2software,Undisclosed
1 Jun 2001,2001--2005,Apple,Steve Jobs,Bluefish Labs,Software,1,Undisclosed,1Cost,2software,Undisclosed
7 Feb 2008,2006--2010,Microsoft,Steve Ballmer,Caligari Corporation,Software,1,Undisclosed,1Cost,2software,Undisclosed
22 Jan 2008,2006--2010,Microsoft,Steve Ballmer,Calista,Software,1,Undisclosed,1Cost,2software,Undisclosed
1 Jan 2015,2011--present,Apple,Tim Cook,Camel Audio,Software,1,Undisclosed,1Cost,2software,Undisclosed
23 Dec 2013,2011--present,Apple,Tim Cook,Catch.com,Software,1,Undisclosed,1Cost,2software,Undisclosed
11 Jul 1988,1985-1990,Apple,John Sculley,Claris,Software,1,Undisclosed,1Cost,2software,Undisclosed
27 Apr 2011,2011--present,Facebook,Mark Zuckerberg,DayTum,Software,1,Undisclosed,1Cost,2software,Undisclosed
17 Oct 2015,2011--present,Google,Sundar Pichai,Digisfera,Software,1,Undisclosed,1Cost,2software,Undisclosed
7 May 1997,1996-2000,Microsoft,Bill Gates,Dimension X,Software,1,Undisclosed,1Cost,2software,Undisclosed
2 Mar 2010,2006--2010,Facebook,Mark Zuckerberg,Divvyshot,Software,1,Undisclosed,1Cost,2software,Undisclosed
5 Mar 2010,2006--2010,Google,Eric Schmidt,DocVerse,Software,25,Less than $100 million,2Cost,2software,$25.0m
13 Jan 2011,2011--present,Google,Larry Page,eBook Technologies,Software,1,Undisclosed,1Cost,2software,Undisclosed
3 Sep 2015,2011--present,Amazon,Jeff Bezos,Elemental,Software,500,$500 - $999 million,4Cost,2software,$500.0m
1 Jul 2002,2001--2005,Apple,Steve Jobs,Emagic,Software,30,Less than $100 million,2Cost,2software,$30.0m
3 Jun 2007,2006--2010,Google,Eric Schmidt,FeedBurner,Software,100,$100 - $499 million,3Cost,2software,$100.0m
11 Nov 2015,2011--present,Google,Sundar Pichai,Fly Labs,Software,1,Undisclosed,1Cost,2software,Undisclosed
16 Jul 2010,2006--2010,Google,Eric Schmidt,Freebase,Software,1,Undisclosed,1Cost,2software,Undisclosed
18 May 2010,2006--2010,Google,Eric Schmidt,Global IP Solutions,Software,68.2,Less than $100 million,2Cost,2software,$68.2m
3 Jan 2013,2011--present,Microsoft,Steve Ballmer,id8 Group R2 Studios,Software,1,Undisclosed,1Cost,2software,Undisclosed
14 Sep 2010,2006--2010,Apple,Steve Jobs,IMSense,Software,1,Undisclosed,1Cost,2software,Undisclosed
27 Apr 1999,1996-2000,Microsoft,Bill Gates,Interactive Objects,Software,1,Undisclosed,1Cost,2software,Undisclosed
27 Jun 2006,2006--2010,Microsoft,Steve Ballmer,iView Multimedia,Software,1,Undisclosed,1Cost,2software,Undisclosed
12 Aug 2013,2011--present,Facebook,Mark Zuckerberg,Jibbigo,Software,1,Undisclosed,1Cost,2software,Undisclosed
26 May 2008,2006--2010,Microsoft,Steve Ballmer,Kidaro,Software,100,$100 - $499 million,3Cost,2software,$100.0m
28 Jan 2016,2011--present,Apple,Tim Cook,LearnSprout,Software,1,Undisclosed,1Cost,2software,Undisclosed
26 Mar 2015,2011--present,Microsoft,Satya Nadella,LiveLoop,Software,1,Undisclosed,1Cost,2software,Undisclosed
12 Sep 2010,2006--2010,Google,Eric Schmidt,MentorWave,Software,12,Less than $100 million,2Cost,2software,$12.0m
9 Mar 2016,2011--present,Facebook,Mark Zuckerberg,MSQRD (Masquerade),Software,1,Undisclosed,1Cost,2software,Undisclosed
1 Feb 2002,2001--2005,Apple,Steve Jobs,Nothing Real,Software,15,Less than $100 million,2Cost,2software,$15.0m
26 Mar 1999,1996-2000,Microsoft,Bill Gates,Numinous,Software,1,Undisclosed,1Cost,2software,Undisclosed
19 Feb 2010,2006--2010,Facebook,Mark Zuckerberg,Octazen,Software,1,Undisclosed,1Cost,2software,Undisclosed
8 Feb 2015,2011--present,Google,Larry Page,Odysee,Software,1,Undisclosed,1Cost,2software,Undisclosed
5 Aug 2009,2006--2010,Google,Eric Schmidt,On2,Software,133,$100 - $499 million,3Cost,2software,$133.0m
13 Jul 2004,2001--2005,Google,Eric Schmidt,Picasa,Software,1,Undisclosed,1Cost,2software,Undisclosed
1 Mar 2010,2006--2010,Google,Eric Schmidt,Picnik,Software,1,Undisclosed,1Cost,2software,Undisclosed
4 Aug 2008,2006--2010,Amazon,Jeff Bezos,PlanetAll,Software,90,Less than $100 million,2Cost,2software,$90.0m
28 Sep 2010,2006--2010,Google,Eric Schmidt,Plannr,Software,1,Undisclosed,1Cost,2software,Undisclosed
31 Dec 2001,2001--2005,Apple,Steve Jobs,PowerSchool,Software,66.1,Less than $100 million,2Cost,2software,$66.1m
21 Jun 2002,2001--2005,Apple,Steve Jobs,Prismo Graphics,Software,20,Less than $100 million,2Cost,2software,$20.0m
8 Jan 2015,2011--present,Facebook,Mark Zuckerberg,Quickfire Networks,Software,1,Undisclosed,1Cost,2software,Undisclosed
5 Jun 2012,2011--present,Google,Larry Page,Quickoffice,Software,1,Undisclosed,1Cost,2software,Undisclosed
13 Feb 2006,2006--2010,Microsoft,Steve Ballmer,Seadragon,Software,1,Undisclosed,1Cost,2software,Undisclosed
7 Jun 1999,1996-2000,Microsoft,Bill Gates,ShadowFactor,Software,1,Undisclosed,1Cost,2software,Undisclosed
16 Oct 2006,2006--2010,Apple,Steve Jobs,Silicon Color,Software,1,Undisclosed,1Cost,2software,Undisclosed
11 Jun 2002,2001--2005,Apple,Steve Jobs,Silicon Grail,Software,20,Less than $100 million,2Cost,2software,$20.0m
1 Nov 2005,2001--2005,Google,Eric Schmidt,Skia,Software,1,Undisclosed,1Cost,2software,Undisclosed
4 Jan 2014,2011--present,Apple,Tim Cook,SnappyLabs,Software,1,Undisclosed,1Cost,2software,Undisclosed
28 Feb 1994,1991--1995,Microsoft,Bill Gates,Softimage,Software,1,Undisclosed,1Cost,2software,Undisclosed
1 Oct 2000,1996-2000,Apple,Steve Jobs,SoundJam MP,Software,1,Undisclosed,1Cost,2software,Undisclosed
9 Jul 2001,2001--2005,Apple,Steve Jobs,Spruce,Software,14.9,Less than $100 million,2Cost,2software,$14.9
27 Jun 1988,1985-1990,Apple,John Sculley,Styleware,Software,1,Undisclosed,1Cost,2software,Undisclosed
4 Feb 2015,2011--present,Microsoft,Satya Nadella,Sunrise Atelier,Software,100,$100 - $499 million,3Cost,2software,$100.0m
19 Jan 2016,2011--present,Microsoft,Satya Nadella,Teacher Gaming,Software,1,Undisclosed,1Cost,2software,Undisclosed
16 Apr 2015,2011--present,Google,Larry Page,Thrive Audio,Software,1,Undisclosed,1Cost,2software,Undisclosed
17 Apr 2007,2006--2010,Google,Eric Schmidt,Tonic,Software,1,Undisclosed,1Cost,2software,Undisclosed
9 Mar 2006,2006--2010,Google,Eric Schmidt,Upstartle,Software,1,Undisclosed,1Cost,2software,Undisclosed
17 Dec 2014,2011--present,Google,Larry Page,Vidmaker,Software,1,Undisclosed,1Cost,2software,Undisclosed
7 Jan 2000,1996-2000,Microsoft,Steve Ballmer,Visio,Software,1375,$1 - 10 billion,5Cost,2software,"$1,375.0m"
8 Jan 1999,1996-2000,Apple,Steve Jobs,Xemplar Education,Software,4.926,Less than $100 million,2Cost,2software,$4.9m
19 Jun 2007,2006--2010,Google,Eric Schmidt,Zenter,Software,1,Undisclosed,1Cost,2software,Undisclosed
26 Aug 2014,2011--present,Google,Larry Page,Zync Render,Software,1,Undisclosed,1Cost,2software,Undisclosed
11 Oct 2016,2011--present,Google,Sundar Pichai,FameBit,E-Commerce,1,Undisclosed,1Cost,4e-commerce,Undisclosed
22 Sep 2016,2011--present,Apple,Tim Cook,Tuplejump,AI,1,Undisclosed,1Cost,5AI,Undisclosed
20 Sep 2016,2011--present,Amazon,Jeff Bezos,Angel.ai,AI,1,Undisclosed,1Cost,5AI,Undisclosed
19 Sep 2016,2011--present,Facebook,Mark Zuckerberg,Nascent Objects,Hardware,1,Undisclosed,1Cost,14hardware,Undisclosed
19 Sep 2016,2011--present,Google,Sundar Pichai,API.AI,AI,1,Undisclosed,1Cost,5AI,Undisclosed
15 Sep 2016,2011--present,Google,Sundar Pichai,Urban Engines,Mapping,1,Undisclosed,1Cost,13mapping,Undisclosed
8 Sep 2016,2011--present,Google,Sundar Pichai,Apigee,Software,650,$500 - $999 million,4Cost,2software,$650.0m
8 Aug 2016,2011--present,Google,Sundar Pichai,Apportable,Mobile,1,Undisclosed,1Cost,3mobile,Undisclosed
